origin	raw_sha256	normalized_sha256	basename	encoding	classification	markers
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lmansi1.zip![17]:PCMICR0.NFO	aeca336a237b65122d7bb2c4e781637ee08036240ba6f1b23d04b90ceacdd273	a6665b8c998485cbf6463e274f019457d60c904ea16633e0b19fc1e9b54875e3	pcmicr0.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lmansi2.zip![51]:PCMICR0.NFO	aeca336a237b65122d7bb2c4e781637ee08036240ba6f1b23d04b90ceacdd273	a6665b8c998485cbf6463e274f019457d60c904ea16633e0b19fc1e9b54875e3	pcmicr0.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lnuker17.zip![9]:PCMICR0.NFO	aeca336a237b65122d7bb2c4e781637ee08036240ba6f1b23d04b90ceacdd273	a6665b8c998485cbf6463e274f019457d60c904ea16633e0b19fc1e9b54875e3	pcmicr0.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/login_2dgx.zip![6]:1	cd07e38fe4c925c470a1c33c41d230c7085d20392a1f60a2c110f0c42121826d	ffac4893a08efb68f798dc96c5247f81fdaf44700e6d3b7e73c51a519addf749	1	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/logoff13.zip![12]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/logrd07.zip![7]:PCMICR0.NFO	aeca336a237b65122d7bb2c4e781637ee08036240ba6f1b23d04b90ceacdd273	a6665b8c998485cbf6463e274f019457d60c904ea16633e0b19fc1e9b54875e3	pcmicr0.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/luser11.zip![7]:USA.HQ	be1790a75c9b5b9eb55bdb099188b34e1b02669847dc2ed155929a085c376306	20db51ba6f390ac36914c2810febfbb9099d21d5fd7a73fa180ef0e399e7e2a1	usa.hq	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/luser11.zip![8]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/lwnews10.zip![8]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	b1761e8d0edefc60353e57f91c05d31f9196ec47b46eaeeb94297e49cf8f95bd	archives.bbs	cp437-inferred	candidate-other	bbs-archives
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/ma_2dbaro.zip![8]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/ma_2dicel.zip![5]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/ma_2dlist.zip![8]:PCM.805	802edc2ac3263bc29b3fd6b83b81d50d8d25f6fb9e16495ea5f08ff376b672bc	d94e062fa575bea31532fb513180ec1b7a19f1d654c749a07cc4d1443664d10b	pcm.805	cp437-inferred	candidate-other	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madadd18.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
/home/mkrueger/work/bbs/bbsarchives/UG-RA-Others/madans17.zip![4]:PCM.NFO	cdd673edff07834fffa57a5ae07af0fffee0f03b10029b88c6df5e7c7f99a0c0	a27d192286bbf69d08fc8f20850ff5711ff4ea1359cd00aedcdcee5681b4f232	pcm.nfo	cp437-inferred	doc-like	pacific-coast-micro
