sha256	size	selection	origin (escaped)
20b95284dac02c9e9e3bb4fbcb1fb5906112e3deb642292f07890a0c828561b0	3312	member-rule	bac-v10/amiga_charset/bermuda_triangle.txt
6a24824f4656805aeffd987147893d2561cd9c24ae4d12d7d0bb03d5262af8d3	1646	member-rule	bac-v10/amiga_charset/bermuda_triangle2.txt
34416772d411758b868c0eeb24f4c48f965beae0c2bea075a68858f201826b1d	1721	member-rule	bac-v10/amiga_charset/beyond_paradise.txt
465f50bba0b676373a327d051b8773169a063ca9dd70491c94fbabb07e555b4e	1330	member-rule	bac-v10/amiga_charset/beyond_reality.txt
940bf4140fbed48215294198906eb3665ff9b5dedb1a2f36f4da1e8ff0c2a98c	1140	member-rule	bac-v10/amiga_charset/biomechanic_dream.txt
1fc3249983594e0dddb05156d0bca77f77b693524554242befada53511faf6f3	1140	member-rule	bac-v10/amiga_charset/birds_cage.txt
2ad779bc699274c4a6d48f24ed35133dec2bb40a3b80c582de8ebc3fe837b0e8	1622	member-rule	bac-v10/amiga_charset/black_fist.txt
1c1221a3245360c5b8814dc439429e63761993dee6f00fc66c009bc384c5ce6d	1860	member-rule	bac-v10/amiga_charset/black_hole.txt
5e71a50560d14fcc04a044b8bdfec44c4a7a8fb39ad6cf2da09fa94c42f1a2a5	905	member-rule	bac-v10/amiga_charset/black_line.txt
21b83b91cbe318a198180e61ae5e77a6b4395ff672970392b11ad521468c7b28	1304	member-rule	bac-v10/amiga_charset/black_moon.txt
37919a7c93dd2814f56e7487fc544b7c4055e3b17230a3af717a71fd4778f7da	1444	member-rule	bac-v10/amiga_charset/black_moon2.txt
d371d118ce11beb131de4cd7f0cc345e78a7faaacd662016355e1d4ea34ab02f	1384	member-rule	bac-v10/amiga_charset/black_moon3.txt
c585ca28eafef078ca397f874ca5951f21033bcbbd6352b0a24394cf86781586	1183	member-rule	bac-v10/amiga_charset/black_opium.txt
cda68ec9bf149b57a748106675a723d8aa9a6e34d460f93e7512b0b90b6771f0	1365	member-rule	bac-v10/amiga_charset/black_sabbath.txt
a7c84218fb9dfbb77eefba2360f6eb6f563786c87eef696b7bb53cf98ae93cc3	1190	member-rule	bac-v10/amiga_charset/blackarts1.txt
8c31449abbc552ef02b024aa033fd720130aad33753bb80285f6ab0f2c845b18	974	member-rule	bac-v10/amiga_charset/blackarts2.txt
58aa9d7670ce7318c0e08fb8b59e41191e30af20ef6da999ee1f598ba6d850f8	859	member-rule	bac-v10/amiga_charset/blackarts3.txt
d9e267b2f4fa213b9af5170b1f7f188394cb4d7a50814a302dd2e5643dd77709	971	member-rule	bac-v10/amiga_charset/blackarts4.txt
82067ba4da3d73f5570827a2607a75f50802cc2377dd620e970737c26a14f030	1533	member-rule	bac-v10/amiga_charset/blackbox.txt
d7f672de12e3338652bd3aaa7e1949aa0ea38b65377ce4a43967756781ebe5a2	1467	member-rule	bac-v10/amiga_charset/blobs_island.txt
6200d8aa9832c39a7cc8c24765c8a48de212bf8258c1c05f648f6cb46d3c2638	1574	member-rule	bac-v10/amiga_charset/blobs_island2.txt
5c35aca9c663ded274ebccc0cfecd0c733c15e94dc606ba1f40959998643afaa	1409	member-rule	bac-v10/amiga_charset/blobs_island3.txt
0c15314682df690649a49adb38ea5caae2373ac3784f78f58821423abee628da	1087	member-rule	bac-v10/amiga_charset/bloody_decision.txt
