origin	raw_sha256	rule_id	action	encoding	legacy_rule_takes_precedence
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/max301p2.zip![29]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/max301r2.zip![20]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/parag115.zip![5]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/pl99a_2d1.zip![5]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/qvreg94b.zip![14]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/rap15a2.zip![2]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/tcra985.zip![2]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/wme_100b.zip![10]:PCMICR0.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/xlt305_a.zip![10]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/xlt305_b.zip![24]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/xlt305_c.zip![24]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/xlt305_d.zip![10]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/BBS-Programs---BBS-source/xlt305_e.zip![28]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Bulletin---News-Makers/anncev33.zip![3]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Bulletin---News-Makers/news210.zip![4]:PCMICRO.NFO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Bulletin---News-Makers/showf20.zip![11]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Bulletin---News-Makers/splite12.zip![7]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/cdoor002.zip![6]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/cheri251.zip![21]:DOORS.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/crich300.zip![14]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/fjchat22.zip![10]:RENEGADE	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/gti_2ddc20.zip![4]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/pageme25.zip![6]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/pageme30.zip![6]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Chatting-Doors---Utils/supchat.zip![16]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/baudcnc4.zip![8]:CONCORD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/c2mcm105.zip![5]:ARCHIVES.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cc2xe08.zip![5]:BBSADDY	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cd2c100.zip![4]:CONCORD.RIP	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cevent.zip![3]:CONCORD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cfaq1297.zip![4]:CONCORD.USA	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/concuser.zip![7]:CONCORD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/conv0909.zip![18]:CONVERT.NOW	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cscrpts2.zip![4]:PCMUSA.SCR	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cusage02.zip![5]:USABBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cview20.zip![4]:INSAINE	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cwl_2deg10.zip![84]:PROMPT.USA	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cwl_2dlc10.zip![5]:SUCKIT.NOW	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/cwl_2drt11.zip![6]:REQUEST.IT	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/delta17b.zip![8]:GERMAN.UTL	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/f2c100.zip![3]:CONCORD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/fe2cc104.zip![5]:FEE4FREE.NOW	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/ged_conc.zip![6]:EXITINFO.BBS	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/im2cc102.zip![6]:IMTHEGOD.USA	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/limcnc01.zip![5]:INHALE.BIL	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/mcmtocon.zip![3]:MCDONALD.EIO	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/mlw_2d1_2d2.zip![3]:FILE_IB.DIZ	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/nodeset.zip![3]:NOSEX4.YOU	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/pb2conc.zip![5]:PBSUCKS.DIK	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/qwkscr.zip![6]:CONCORD	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/shk_2dgg11.zip![3]:GGROUP.CRC	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/sn_21who12.zip![12]:SUBLIMI.NAL	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
/home/mkrueger/work/bbs/bbsarchives/Concord-Utils/sup2con5.zip![4]:SUPDUDE.HEY	71d056256e41d4ff70832abfe8c37d449ef45f0265bd1d05e0393a339b37cb4a	bbs-archives-passed-banner	ReportOnly	cp437-inferred	false
