origin	sha256	rule	action	first_line	last_line
PCboard-PPE-s-A-C/911lv1b.zip::FILE_ID.DIZ	27253b31f75e1dac0c2f5766998c036c86fd31f8e53af3ad2843370dd503c06e	critical-strike-transit	AutoClean	8	13
PCboard-PPE-s-A-C/acd_2dag20.zip::FILE_ID.DIZ	f9b8c24968a3f01757515b825f0e5c7012b1dc718214be1937919f28bd5e29a1	critical-strike-transit	AutoClean	18	23
PCboard-PPE-s-A-C/acd_2dmcs1.zip::FILE_ID.DIZ	680eb43a569e7b591d6d355bc27373d88a0d65e891faf55c193dae333a14ecdb	critical-strike-transit	AutoClean	2	7
PCboard-PPE-s-A-C/afl_2dup.zip::FILE_ID.DIZ	ad9eb194f5532d2f68536c8cf7e5369eda234fcb3949b9c2b05f5f73da183889	critical-strike-transit	AutoClean	13	18
PCboard-PPE-s-A-C/afl_run1.zip::FILE_ID.DIZ	68c5d741124ebc7ffe3bd624ce5e3d18f3ba00e951886bdd87bb9b042666f530	critical-strike-transit	AutoClean	11	16
PCboard-PPE-s-A-C/ag_2deul10.zip::FILE_ID.DIZ	de82f619245b46ec62782739fbe09b310ae160550cf1e3a65b818ec40666d960	critical-strike-transit	AutoClean	17	22
PCboard-PPE-s-A-C/agscnf10.zip::FILE_ID.DIZ	5430a35fafe75860b08569a63d958c54240a7ceed074e7fbf3126c46e68d35a4	critical-strike-transit	AutoClean	15	20
PCboard-PPE-s-A-C/agsentr1.zip::FILE_ID.DIZ	9fa29df5bb2edac7ba12015979a6bdece2d5c09851e5c4329ed665b532fba3a7	critical-strike-transit	AutoClean	11	16
PCboard-PPE-s-A-C/agsjoin1.zip::FILE_ID.DIZ	bb26167be2e36f7a74925049f6ecd68bdb4d00154e157386defc20189960ebb7	critical-strike-transit	AutoClean	15	20
PCboard-PPE-s-A-C/agslog23.zip::FILE_ID.DIZ	7d7f7b43de4c696fc38ce715d2d8ddc4a2529792ef5c033d57f707de31a12fe1	critical-strike-transit	AutoClean	20	25
